Timestamp,Source MAC,Destination MAC,Packet Length,Source IP,Destination IP,Protocol,Source Port,Destination Port
1734259106.979065,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259107.238204,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259112.040500,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259121.979155,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259122.237314,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259136.980101,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259137.251488,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259142.120502,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259151.977067,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,99,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259152.277360,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259166.978296,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259167.239646,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259172.040308,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259181.979377,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259182.236832,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259196.979601,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259197.237941,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259202.040490,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259211.979695,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259212.238252,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259226.979750,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259227.238258,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1045.0,1883.0
1734259232.040578,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,,,,,
1734259239.997998,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734259239.998239,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,80,192.168.1.157,192.168.1.1,17.0,1026.0,53.0
1734259240.061216,9c:9c:1f:0c:88:68,ff:ff:ff:ff:ff:ff,60,,,,,
1734259240.061423,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.118033,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.119822,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.120031,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.120357,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,110,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.120568,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,63,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.121785,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.122016,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.122248,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,74,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.122455,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.123690,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,64,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.123899,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,60,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
1734259240.124117,9c:9c:1f:0c:88:68,d4:6e:0e:76:ef:10,61,192.168.1.157,128.199.164.18,6.0,1046.0,80.0
